TOWN_ID,TOWN
1,ABINGTON
2,ACTON
3,ACUSHNET
4,ADAMS
5,AGAWAM
23,BEDFORD
24,BELCHERTOWN
25,BELLINGHAM
26,BELMONT
27,BERKLEY
28,BERLIN
29,BERNARDSTON
30,BEVERLY
31,BILLERICA
32,BLACKSTONE
33,BLANDFORD
34,BOLTON
35,BOSTON
36,BOURNE
37,BOXBOROUGH
38,BOXFORD
39,BOYLSTON
40,BRAINTREE
41,BREWSTER
6,ALFORD
7,AMESBURY
8,AMHERST
9,ANDOVER
10,ARLINGTON
11,ASHBURNHAM
12,ASHBY
13,ASHFIELD
14,ASHLAND
15,ATHOL
16,ATTLEBORO
17,AUBURN
18,AVON
19,AYER
20,BARNSTABLE
21,BARRE
22,BECKET
49,CAMBRIDGE
50,CANTON
51,CARLISLE
52,CARVER
53,CHARLEMONT
54,CHARLTON
55,CHATHAM
56,CHELMSFORD
57,CHELSEA
58,CHESHIRE
59,CHESTER
60,CHESTERFIELD
61,CHICOPEE
62,CHILMARK
63,CLARKSBURG
64,CLINTON
65,COHASSET
66,COLRAIN
67,CONCORD
68,CONWAY
69,CUMMINGTON
70,DALTON
71,DANVERS
72,DARTMOUTH
75,DENNIS
76,DIGHTON
77,DOUGLAS
73,DEDHAM
74,DEERFIELD
78,DOVER
79,DRACUT
80,DUDLEY
81,DUNSTABLE
82,DUXBURY
83,EAST BRIDGEWATER
84,EAST BROOKFIELD
85,EAST LONGMEADOW
86,EASTHAM
87,EASTHAMPTON
88,EASTON
89,EDGARTOWN
90,EGREMONT
91,ERVING
92,ESSEX
93,EVERETT
94,FAIRHAVEN
95,FALL RIVER
96,FALMOUTH
97,FITCHBURG
98,FLORIDA
99,FOXBOROUGH
100,FRAMINGHAM
42,BRIDGEWATER
43,BRIMFIELD
44,BROCKTON
45,BROOKFIELD
46,BROOKLINE
47,BUCKLAND
48,BURLINGTON
114,GREENFIELD
115,GROTON
116,GROVELAND
117,HADLEY
118,HALIFAX
119,HAMILTON
120,HAMPDEN
121,HANCOCK
122,HANOVER
123,HANSON
124,HARDWICK
125,HARVARD
126,HARWICH
127,HATFIELD
128,HAVERHILL
129,HAWLEY
130,HEATH
131,HINGHAM
132,HINSDALE
133,HOLBROOK
134,HOLDEN
135,HOLLAND
136,HOLLISTON
137,HOLYOKE
138,HOPEDALE
139,HOPKINTON
140,HUBBARDSTON
141,HUDSON
142,HULL
143,HUNTINGTON
144,IPSWICH
145,KINGSTON
146,LAKEVILLE
101,FRANKLIN
102,FREETOWN
103,GARDNER
104,AQUINNAH
105,GEORGETOWN
106,GILL
107,GLOUCESTER
108,GOSHEN
109,GOSNOLD
110,GRAFTON
111,GRANBY
112,GRANVILLE
113,GREAT BARRINGTON
160,LOWELL
161,LUDLOW
162,LUNENBURG
163,LYNN
164,LYNNFIELD
165,MALDEN
166,MANCHESTER
167,MANSFIELD
168,MARBLEHEAD
169,MARION
170,MARLBOROUGH
171,MARSHFIELD
172,MASHPEE
173,MATTAPOISETT
174,MAYNARD
175,MEDFIELD
176,MEDFORD
177,MEDWAY
178,MELROSE
179,MENDON
180,MERRIMAC
181,METHUEN
182,MIDDLEBOROUGH
